n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
2,2581.88,9870.81,513,607.5,662.5,735.5,56572
4,2897.78,2237.02,1306,2625.5,2770,2852.75,14713
8,81439.5,382054,5656,5907.75,7625,12904,2.17247e+06
16,83110.8,54719.5,42111,60568,70854,80238.5,326627
32,325826,85214.6,238203,264715,294838,364171,580235
64,1.98099e+06,95157.6,1.71111e+06,1.923e+06,1.99918e+06,2.05387e+06,2.12028e+06
128,1.60225e+07,569847,1.49119e+07,1.55825e+07,1.60267e+07,1.62436e+07,1.74715e+07
256,1.22135e+08,5.52533e+06,1.14358e+08,1.17395e+08,1.21506e+08,1.26548e+08,1.3203e+08
512,9.96347e+08,2.65402e+07,9.45653e+08,9.7232e+08,1.00646e+09,1.01261e+09,1.03117e+09
1024,1.0177e+10,2.6167e+08,9.57922e+09,1.0069e+10,1.01652e+10,1.02956e+10,1.10654e+10
